date,exchange_rate
2009-01-02,0
2009-01-05,0
2010-03-10,0
2010-08-05,0
2010-08-08,0
2010-08-11,0
2010-08-14,0
2010-08-17,0
2010-08-20,0.07
2010-08-23,0.07
2010-08-26,0.07
2010-08-29,0.06
2010-09-01,0.06
2010-09-04,0.06
2010-09-07,0.06
2010-09-10,0.06
2010-09-13,0.06
2010-09-16,0.15
2010-09-19,0.06
2010-09-22,0.06
2010-09-25,0.06
2010-09-28,0.06
2010-10-01,0.06
2010-10-04,0.06
2010-10-07,0.06
2010-10-10,0.12
2010-10-13,0.1
2010-10-16,0.12
2010-10-19,0.1
2010-10-22,0.11
2010-10-25,0.18
2010-10-28,0.19
2010-10-31,0.19
2010-11-02,0.21
2010-11-05,0.25
2010-11-08,0.36
2010-11-11,0.24
2010-11-14,0.3
2010-11-17,0.28
2010-11-20,0.29
2010-11-23,0.29
2010-11-26,0.29
2010-11-29,0.28
2010-12-02,0.25
2010-12-05,0.23
2010-12-08,0.25
2010-12-11,0.23
2010-12-14,0.23
2010-12-17,0.25
2010-12-20,0.27
2010-12-23,0.25
2010-12-26,0.27
2010-12-29,0.3
2011-01-01,0.3
2011-01-04,0.3
2011-01-07,0.32
2011-01-10,0.33
2011-01-13,0.42
2011-01-16,0.4
2011-01-19,0.35
2011-01-22,0.43
2011-01-25,0.43
2011-01-28,0.45
2011-01-31,0.61
